Nome completo,Telefone,E-mail,CPF,Data de nascimento,Observações
Ana Beatriz Carvalho,(21) 91409-5506,ana.carvalho@hotmail.com,321.819.600-03,03/04/1974,
Bruno Henrique Almeida,(85) 91434-4257,bruno.almeida@icloud.com,637.940.265-94,09/03/1973,"Grupo de amigas, 5 pessoas"
Carla Regina Souza,(21) 92519-7224,carla.souza@gmail.com,559.407.816-91,03/09/1978,Prefere parcelar no cartão
Diego Fernandes Lima,(85) 94150-2139,diego.lima@gmail.com,341.316.475-91,06/06/1982,Só voos diretos
Eduarda Nogueira Pinto,(47) 92169-3803,eduarda.pinto@icloud.com,327.648.350-51,08/01/1980,Cliente Disney/Orlando
Felipe Augusto Moreira,(47) 92084-4456,felipe.moreira@icloud.com,537.672.423-97,24/09/1994,Fecha por WhatsApp
Gabriela Santos Ribeiro,(85) 98019-7543,gabriela.ribeiro@outlook.com,328.710.122-61,26/11/1987,Prefere pacotes all-inclusive
Henrique Costa Barbosa,(61) 97252-8668,henrique.barbosa@icloud.com,480.184.514-27,14/03/1989,Lua de mel em 2027
Isabela Martins Rocha,(47) 99201-3927,isabela.rocha@icloud.com,148.932.528-01,25/09/1960,"Grupo de amigas, 5 pessoas"
João Pedro Azevedo,(71) 91319-2832,joao.azevedo@outlook.com,430.391.171-22,25/09/1968,Viaja com 2 filhos pequenos
Karina Oliveira Dias,(71) 93705-5342,karina.dias@icloud.com,963.834.657-40,17/08/1967,Aniversário de casamento em março
Lucas Vinícius Cardoso,(41) 92049-6539,lucas.cardoso@gmail.com,983.930.103-90,03/01/1981,Prefere pacotes all-inclusive
Mariana Freitas Gomes,(81) 94899-5562,mariana.gomes@yahoo.com.br,382.997.376-48,07/02/1966,Cruzeiro no fim do ano
Nathan Ribeiro Teixeira,(51) 97939-7735,nathan.teixeira@yahoo.com.br,010.651.333-83,18/08/1968,Cruzeiro no fim do ano
Olívia Campos Andrade,(31) 95563-8579,olivia.andrade@hotmail.com,178.108.013-50,06/07/1991,
Paulo Ricardo Mendes,(41) 97570-1960,paulo.mendes@hotmail.com,606.474.687-43,05/04/1978,Só voos diretos
Quezia Barros Farias,(11) 99883-1998,quezia.farias@outlook.com,009.788.208-94,03/03/1964,Prefere pacotes all-inclusive
Rafael Monteiro Nunes,(41) 97615-2964,rafael.nunes@icloud.com,399.091.699-83,17/06/1976,Só voos diretos
Sofia Vasconcelos Melo,(51) 94910-5351,sofia.melo@yahoo.com.br,247.510.799-56,04/02/1994,Só voos diretos
Thiago Correia Pires,(81) 95345-3170,thiago.pires@outlook.com,135.427.849-66,26/11/1993,Lua de mel em 2027
Ursula Ramos Batista,(81) 95905-2697,ursula.batista@hotmail.com,411.824.493-44,23/06/1973,Fecha por WhatsApp
Vinícius Duarte Cunha,(81) 99004-5114,vinicius.cunha@gmail.com,164.005.242-90,24/08/1995,Cruzeiro no fim do ano
Wesley Tavares Lopes,(81) 91158-2832,wesley.lopes@gmail.com,280.598.262-20,02/05/1983,Cliente recorrente — 3ª viagem
Yasmin Cavalcanti Reis,(51) 94441-5088,yasmin.reis@gmail.com,586.923.226-01,01/03/1981,Cruzeiro no fim do ano
Zeca Palmeira Fonseca,(41) 95371-3608,zeca.fonseca@gmail.com,607.337.543-33,08/01/1972,Cliente Disney/Orlando
Amanda Loureiro Brito,(51) 95564-2137,amanda.brito@outlook.com,586.850.142-04,19/05/1962,Indicação da Fernanda
Bernardo Siqueira Nascimento,(85) 98119-6663,bernardo.nascimento@outlook.com,698.169.340-27,23/07/1960,
Camila Prado Machado,(81) 94228-6967,camila.machado@yahoo.com.br,159.514.846-93,11/07/1978,Viaja com 2 filhos pequenos
Daniel Rezende Cardim,(41) 97888-7211,daniel.cardim@hotmail.com,994.680.443-35,14/10/1998,"Grupo de amigas, 5 pessoas"
